Loan ID,Branch,Region,Postal Code,Industry,Disbursement Date,Principal Amount ,Loan Status,Days Overdue,Risk Rating,Interest Income,Client Name,Bank
1004285007,NEW YORK,Northeast,11718,Manufacturing,4/8/2011,32812,Active,0,Standard,3937.44,SIMPLEX OFFICE SOLUTIONS,CALIFORNIA BANK & TRUST
1004535010,SEATTLE,West,98797,Construction,6/3/2011,30000,Active,0,Standard,3600,DREAM HOME REALTY,CALIFORNIA BANK & TRUST
1005005006,NEW YORK,Northeast,13589,Construction,7/31/2011,30000,Active,0,Standard,3600,"Winset, Inc. dba Bankers Hill",CALIFORNIA BANK & TRUST
1005535001,SEATTLE,West,98680,Real Estate Development,1/13/2013,50000,Active,0,Standard,6000,Shiva Management,CALIFORNIA BANK & TRUST
1005996006,NEW YORK,Northeast,10156,Retail & Wholesale Trade,2/7/2016,343000,Active,0,Standard,41160,"GOLD CROWN HOME LOANS, INC",SBA - EDF ENFORCEMENT ACTION
1006295003,MIAMI,South,32846,Construction,4/17/2013,55825,Active,0,Standard,6699,Ronald Lee Roberts,CALIFORNIA BANK & TRUST
1015066002,MIAMI,South,33406,Construction,2/8/2016,297500,Default,133,Critical,35700,SUPERIOR BROKERS REALTY,U.S. BANK NATIONAL ASSOCIATION
1015266003,BOSTON,Northeast,1595,Construction,2/8/2016,67047,Active,0,Standard,8045.64,LIBERTY REALTY CO,JPMORGAN CHASE BANK NATL ASSOC
1018975003,CHICAGO,Midwest,61311,Retail & Wholesale Trade,6/29/2014,50000,Default,105,Critical,6000,"SOUTHLAND MGT., CO.",BANK OF AMERICA NATL ASSOC
1022515008,HOUSTON,South,77157,Agriculture & Farming,7/11/2014,17500,Active,0,Standard,2100,"AMR Appraisals, Inc.",BANK OF AMERICA NATL ASSOC
1030805001,HOUSTON,South,78493,Food & Beverage Production,7/28/2014,50000,Default,147,Critical,6000,Global Parties Inc. dba Party,BANK OF AMERICA NATL ASSOC
1033135007,ATLANTA,South,39137,Real Estate Development,8/2/2014,17536,Active,0,Standard,2104.32,Mitchell J Kemp dba Pacific Co,BANK OF AMERICA NATL ASSOC
1035365010,CHICAGO,Midwest,61523,Hospitality & Tourism,8/5/2014,33276,Active,0,Standard,3993.12,"Tenant Guarantors, Inc",BANK OF AMERICA NATL ASSOC
1038956001,MIAMI,South,32423,Construction,2/13/2016,30000,Default,161,Critical,3600,SMOOTH AS SATIN ENTERPRISES IN,JPMORGAN CHASE BANK NATL ASSOC
1039435004,HOUSTON,South,76050,Real Estate Development,8/11/2014,30502,Active,0,Standard,3660.24,GIUSEPPE & GRAZIA PENNISI DBA,BANK OF AMERICA NATL ASSOC
1040106003,CHICAGO,Midwest,61090,Construction,2/14/2016,25000,Active,0,Standard,3000,C&C FINANCIAL CORP,WELLS FARGO BANK NATL ASSOC
1040115010,PHOENIX,West,85789,Construction,8/12/2014,20000,Active,0,Standard,2400,Richard S. Fletcher dba Richar,BANK OF AMERICA NATL ASSOC
1041204008,PHOENIX,West,85367,Healthcare Services,3/16/2007,1000000,Active,0,Standard,120000,"RED AND BLUE, INC.",U.S. BANK NATIONAL ASSOCIATION
1045135004,CHICAGO,Midwest,62152,Construction,8/22/2014,10097,Default,68,Watchlist,1211.64,DORIS JEANNE HARDER DBA HARDER,BANK OF AMERICA NATL ASSOC
